1185,14226
2265,13888
2322,13580
3271,11230
3301,13490
3410,14114
4157,13421
6221,12967
6613,13410
6635,13441
6664,14214
6668,13323
6845,14187
6880,13866
6923,14117
6978,12183
6988,14180
7136,14074
7147,14176
7159,13934
7165,12857
7184,13880
7190,13730
7205,14543
7209,14184
7217,14467
7224,14492
7238,13889
7259,14291
7291,14184
7294,13995
7316,14221
7330,13910
7345,14212
7361,13257
7518,9271
7525,14232
7585,14228
7591,14183
7685,14159
7690,14241
7703,14273
7711,14019
7752,13987
7822,14042
8004,13276
8014,13755
8051,13613
8349,14234
8349,14556
8385,14192
